ReferenceID,Contact_Category,Contact_SubCategory,Contact_Services,Status,,,,,,,,,,,,,,,,,
CSP_ACCE,Consultants and Service Providers,Incorporation,Foreign company setup requirements,Active,,,,,,,,,,,,,,,,,
CSP_ACCE,Consultants and Service Providers,Incorporation,Market and investment advisory,Active,,,,,,,,,,,,,,,,,
CSP_ACCE,Consultants and Service Providers,Incorporation,Compliance and secretarial services,Active,,,,,,,,,,,,,,,,,
CSP_ACCE,Consultants and Service Providers,Licenses and permits,Product licenses,Active,,,,,,,,,,,,,,,,,
CSP_ACCE,Consultants and Service Providers,Licenses and permits,Sectoral business licenses and permits,Active,,,,,,,,,,,,,,,,,
CSP_RAJAH,Consultants and Service Providers,Legal services,Contracts and agreements,Active,,,,,,,,,,,,,,,,,
CSP_RAJAH,Consultants and Service Providers,Legal services,Intellectual property,Active,,,,,,,,,,,,,,,,,
CSP_RAJAH,Consultants and Service Providers,Legal services,Due diligence,Active,,,,,,,,,,,,,,,,,
CSP_TGHRS,Consultants and Service Providers,Human resources,Immigration and visa services,Active,,,,,,,,,,,,,,,,,
CSP_TGHRS,Consultants and Service Providers,Human resources,Payroll,Active,,,,,,,,,,,,,,,,,
CSP_TGHRS,Consultants and Service Providers,Human resources,Recruitment,Active,,,,,,,,,,,,,,,,,
CSP_ALLV,Consultants and Service Providers,Legal services,Contracts and agreements,Active,,,,,,,,,,,,,,,,,
CSP_ALLV,Consultants and Service Providers,Legal services,Intellectual property,Active,,,,,,,,,,,,,,,,,
CSP_ALLV,Consultants and Service Providers,Legal services,Due diligence,Active,,,,,,,,,,,,,,,,,
BD_SUKAN,Business Development,Distributors,,Active,,,,,,,,,,,,,,,,,
BD_PANDU,Business Development,Distributors,,Active,,,,,,,,,,,,,,,,,
CSP_TUAH,Consultants and Service Providers,Legal services,Contracts and agreements,Active,,,,,,,,,,,,,,,,,
CSP_TUAH,Consultants and Service Providers,Legal services,Intellectual property,Active,,,,,,,,,,,,,,,,,
CSP_TUAH,Consultants and Service Providers,Legal services,Due diligence,Active,,,,,,,,,,,,,,,,,
CSP_INCOR,Consultants and Service Providers,Incorporation,Market and investment advisory,Active,,,,,,,,,,,,,,,,,
CSP_INCOR,Consultants and Service Providers,Incorporation,Market research,Active,,,,,,,,,,,,,,,,,
CSP_INCOR,Consultants and Service Providers,Incorporation,Company due diligence,Active,,,,,,,,,,,,,,,,,
CSP_INCOR,Consultants and Service Providers,Human resources,Immigration and visa services,Active,,,,,,,,,,,,,,,,,
CSP_INCOR,Consultants and Service Providers,Licenses and permits,Product licenses,Active,,,,,,,,,,,,,,,,,
CSP_INCOR,Consultants and Service Providers,Licenses and permits,Sectoral business licenses and permits,Active,,,,,,,,,,,,,,,,,
GC_INDO,Global Connect,,,Active,,,,,,,,,,,,,,,,,
GC_THAI,Global Connect,,,Active,,,,,,,,,,,,,,,,,
GC_VIET,Global Connect,,,Active,,,,,,,,,,,,,,,,,
SMEC_ASME,SME Centres,,,Active,,,,,,,,,,,,,,,,,
SMEC_SCCCI,SME Centres,,,Active,,,,,,,,,,,,,,,,,
SMEC_SICCI,SME Centres,,,Active,,,,,,,,,,,,,,,,,
GOV_IIPC,Government,,,Active,,,,,,,,,,,,,,,,,
GOV_VCCI,Government,,,Active,,,,,,,,,,,,,,,,,
GOV_DBDT,Government,,,Active,,,,,,,,,,,,,,,,,
BA_GAPMMI,Business Associations,,,Active,,,,,,,,,,,,,,,,,
