Industry,Option Value,Sub Industry,,,,
Food Manufacturing,mfg_in_food,Mfg in Food Products,,,,
Precision Engineering,mfg_in_aerospace,Mfg in Aerospace,,,,
Precision Engineering,mfg_in_automotives,Mfg in Automotives,,,,
Precision Engineering,mfg_in_consumer_goods,Mfg in Consumer Goods,,,,
Precision Engineering,mfg_in_construction_products,Mfg in Construction-related Products,,,,
Precision Engineering,mfg_in_electrical_equipments,Mfg in Electrical Equipments,,,,
Precision Engineering,mfg_in_medtech,Mfg in Medtech,,,,
Precision Engineering,mfg_in_paper_rubber_plastic_printing,"Mfg in Paper, Rubber, Plastic Products & Printing",,,,
Precision Engineering,mfg_in_semiconductors,Mfg in Semiconductors,,,,
Precision Engineering,mfg_in_others,Manufacturing (Others),,,,
Retail,beauty_sports_personalcare,"Beauty, Sports & Personal care",,,,
Retail,electronics,Electronics,,,,
Retail,fashion_jewellery_watches,"Fashion, Jewellery, Watches",,,,
Retail,furnitures_fittings,Furnitures & Fittings,,,,
Retail,grocery,Grocery,,,,
Retail,retail_in_others,Retail (Others),,,,
Infocomm & Media,consumer_platforms,Consumer Platforms,,,,
Infocomm & Media,enterprise_technology,Enterprise Technology,,,,
