Application No.,Scheme,TAC,TAC UEN,Event Title,Reco Title,Reco Subtitle,Reco Description,Reco Link,Capability Area,Sub Capability,Old Industry,Industry,Sub Industry,Markets,City,Region,Year of Event,Event Start Date,Event End Date,Cluster Division
TF22/AAIS/00003,LEAD Trade Fair,ASSOCIATION OF AEROSPACE INDUSTRIES (SINGAPORE),T02SS0140G,INTER AIRPORT SOUTH EAST ASIA 2023,INTER AIRPORT SOUTH EAST ASIA 2024,LEAD Trade Fair by ASSOCIATION OF AEROSPACE INDUSTRIES (SINGAPORE),"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut.",https://www.google.com,Internationalisation,"Expand Network, Publicity, Business Development",Aviation,Air Transport,Air Transport,Singapore,Singapore,Asia,2023,3/1/2023,3/3/2023,Advanced Manufacturing
TF22/SJA/00003,LEAD Trade Fair,SINGAPORE JEWELLERS ASSOCIATION,S84SS0039E,HKTDC HONG KONG INTERNATIONAL JEWELLERY SHOW 2023,HKTDC HONG KONG INTERNATIONAL JEWELLERY SHOW 2024,LEAD Trade Fair by SINGAPORE JEWELLERS ASSOCIATION,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut.",https://www.google.com,Internationalisation,"Expand Network, Publicity, Business Development",Jewellery,Retail,"Fashion, Jewellery, Watches",Hong Kong,Hong Kong,Asia,2023,3/1/2023,5/3/2023,Retail & Design
TF23/ASMI/00002,LEAD Trade Fair,ASSOCIATION OF SINGAPORE MARINE INDUSTRIES,S68SS0036J,OFFSHORE TECHNOLOGY CONFERENCE,OFFSHORE TECHNOLOGY CONFERENCE,LEAD Trade Fair by ASSOCIATION OF SINGAPORE MARINE INDUSTRIES,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut.",https://www.google.com,Internationalisation,"Expand Network, Publicity, Business Development",Shipyards,Marine & Offshore Energy,Marine & Offshore Energy,United States,"Texas, Houston",America,2023,5/1/2023,4/5/2023,"Marine & Offshore, Energy & Chemicals"
TF23/SGC/00001,LEAD Trade Fair,SINGAPOREAN-GERMAN CHAMBER OF INDUSTRY AND COMMERCE,S90SS0074F,INTERNATIONALE FUNKAUSSTELLUNG (IFA) BERLIN 2023,INTERNATIONALE FUNKAUSSTELLUNG (IFA) BERLIN 2024,LEAD Trade Fair by SINGAPOREAN-GERMAN CHAMBER OF INDUSTRY AND COMMERCE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut.",https://www.google.com,Internationalisation,"Expand Network, Publicity, Business Development",Consumer Electronics,Electronics,Electronics,Germany,Berlin,Europe,2023,9/1/2023,5/9/2023,Europe
TF22/TSAAA/00001,LEAD Trade Fair,SAAA@SINGAPORE,S71SS0030A,"TRANSPORT LOGISTIC AND AIR CARGO SOUTHEAST ASIA 2023, SINGAPORE, 2023","TRANSPORT LOGISTIC AND AIR CARGO SOUTHEAST ASIA 2023, SINGAPORE, 2024",LEAD Trade Fair by SAAA@SINGAPORE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut.",https://www.google.com,Internationalisation,"Expand Network, Publicity, Business Development",Logistics,Logistics,Logistics,Singapore,SINGAPORE,Asia,2023,11/1/2023,3/11/2023,Transport & Logistics
TF23/ASME/00024,LEAD Trade Fair,ASSOCIATION OF SMALL & MEDIUM ENTERPRISES,S86SS0026L,SECUTECH THAILAND 2023,SECUTECH THAILAND 2024,LEAD Trade Fair by ASSOCIATION OF SMALL & MEDIUM ENTERPRISES,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut.",https://www.google.com,Internationalisation,"Expand Network, Publicity, Business Development",Information Technology Services,ICT & Media,Consumer Platforms,Thailand,Bangkok,Asia,2023,11/1/2023,3/11/2023,Enterprise Services
TF22/ASME/00022,LEAD Trade Fair,ASSOCIATION OF SMALL & MEDIUM ENTERPRISES,S86SS0026L,INTERSEC DUBAI 2023,INTERSEC DUBAI 2024,LEAD Trade Fair by ASSOCIATION OF SMALL & MEDIUM ENTERPRISES,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut.",https://www.google.com,Internationalisation,"Expand Network, Publicity, Business Development",other,Other,Other,United Arab Emirates,Dubai,Middle East,2023,17/1/2023,19/1/2023,Enterprise Services
TF22/ASME/00011,LEAD Trade Fair,ASSOCIATION OF SMALL & MEDIUM ENTERPRISES,S86SS0026L,ARAB HEALTH 2023,ARAB HEALTH 2024,LEAD Trade Fair by ASSOCIATION OF SMALL & MEDIUM ENTERPRISES,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut.",https://www.google.com,Internationalisation,"Expand Network, Publicity, Business Development",Medical & Healthcare,Healthcare & Biomedical,Healthcare & Biomedical,United Arab Emirates,Dubai,Middle East,2023,30/1/2023,2/2/2023,Enterprise Services
TF23/ASMI/00005,LEAD Trade Fair,ASSOCIATION OF SINGAPORE MARINE INDUSTRIES,S68SS0036J,ABU DHABI INTERNATIONAL PROGRESSIVE ENERGY CONGRESS (ADIPEC) 2023,ABU DHABI INTERNATIONAL PROGRESSIVE ENERGY CONGRESS (ADIPEC) 2024,LEAD Trade Fair by ASSOCIATION OF SINGAPORE MARINE INDUSTRIES,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut.",https://www.google.com,Internationalisation,"Expand Network, Publicity, Business Development",Oil & Gas,Energy & Chemicals,Energy & Chemicals,United Arab Emirates,Abu Dhabi,Middle East,2023,10/2/2023,5/10/2023,"Marine & Offshore, Energy & Chemicals"
TF23/ASME/00015,LEAD Trade Fair,ASSOCIATION OF SMALL & MEDIUM ENTERPRISES,S86SS0026L,AUTOMECHANIKA DUBAI 2023,AUTOMECHANIKA DUBAI 2024,LEAD Trade Fair by ASSOCIATION OF SMALL & MEDIUM ENTERPRISES,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut.",https://www.google.com,Internationalisation,"Expand Network, Publicity, Business Development",Automotive,Land Transport,Land Transport,United Arab Emirates,Dubai,Middle East,2023,10/2/2023,4/10/2023,
