User ID,Capability Area,Sub Capability,Industry,Sub Industry,Region,Markets,Day elapsed
ID2501,Internationalisation,COMP,Retail,beauty_sports_personalcare,Asia,Malaysia,
ID2502,Internationalisation,COMP,Food Manufacturing,mfg_in_food,Asia,"Indonesia, Malaysia",
ID2503,Internationalisation,BIZD,Precision Engineering,mfg_in_consumer_goods,Asia,Vietnam,
ID2504,Internationalisation,COMP,Precision Engineering,mfg_in_medtech,Asia,Malaysia,
ID2505,Internationalisation,BIZD,Precision Engineering,mfg_in_others,Asia,All,
ID2506,Internationalisation,COMP,Retail,beauty_sports_personalcare,Asia,Malaysia,
ID2507,Internationalisation,BIZD,Infocomm & Media,enterprise_technology,Asia,All,
ID2508,Internationalisation,BIZD,Precision Engineering,mfg_in_others,Asia,All,
ID2509,Internationalisation,BIZD,Precision Engineering,mfg_in_automotives,Asia,All,
ID2510,Internationalisation,BIZD,Food Manufacturing,mfg_in_food,Asia,All,
ID2511,Internationalisation,BIZD,Precision Engineering,mfg_in_paper_rubber_plastic_printing,Asia,All,
ID2512,Internationalisation,BIZD,Infocomm & Media,enterprise_technology,Asia,All,
ID2513,Internationalisation,BIZD,Precision Engineering,mfg_in_others,Asia,All,
ID2514,Internationalisation,BIZD,Others,others,Asia,All,
ID2515,Internationalisation,BIZD,Precision Engineering,mfg_in_others,Asia,All,
ID2516,Internationalisation,BIZD,Precision Engineering,mfg_in_paper_rubber_plastic_printing,Asia,All,
ID2517,Internationalisation,BIZD,Precision Engineering,mfg_in_others,Asia,All,
ID2518,Internationalisation,BIZD,Food Manufacturing,mfg_in_food,Asia,All,
